Company,Industry,Company Type,Sector,Contact,Pincode,Address,Website
TCI Seaways Ltd,"Shipping , Marine",Industry Top,Private Sector,28117583,600004,"IV Floor, Gee Gee Crystal No.92, Dr. Radhakrishnan Salai, Mylapore,, Chennai Tamil Nadu , 600004",www.tciseaways.com
TCP Ltd.,Chemical,Industry Top,Private Sector,"24991518, 24991289",600044,"Sapthagiri Bhavan New No. 4, Old No. 10 Karpagambal Nagar Mylapore, Chennai Tamil Nadu , 600044",www.tcpindia.com
Teamware Solutions,Information Technology (IT),Industry Top,Private Sector,40128888,600017,"3 & 4 6th Floor,KASI Arcade,Thygaraya Road T Nagar, Chennai Tamil Nadu , 600017",www.teamwaresolutions.net
Teems India Towerlines Pvt Ltd,"Telecommunication , Mobile",Industry Top,Private Sector,24961779,600096,"No. 3, Maruti Nagar,Thoraipakkam,Neelankarai Road Perungudi, Chennai Tamil Nadu , 600096",www.teemsindia.com
Tekplay Systems Ltd,Information Technology (IT),Industry Top,Private Sector,45052222,600004,"4th Floor, Westminster Building, 108, Chandrabagh Avenue 2nd St., Off Dr.Radhakrishnan Saalai, Mylapore,, Chennai Tamil Nadu , 600004",www.tekplay.com
Tenshi Life Sciences Pvt Ltd,"Pharmaceuticals , Labs",Industry Top,Private Sector,"43446700, 67888507",600032,"4th Floor, Batra Centre, No.28, Sardar Patel Road, Guindy,, Chennai Tamil Nadu , 600032",tenshi.co.in
Texonic Instruments,"Electrical , Electronics, Information Technology (IT)",Industry Top,Private Sector,"28410638, 42118608",600002,"No.9 Athipattan Street Mount Road, Chennai Tamil Nadu , 600002",www.texonic.com
Textile India Fashion Mall,"Retail, Garment , Textile",Industry Top,Private Sector,,600007,"58, Purasaiwalkkam High Road, Chennai Tamil Nadu , 600007",
Thamizhaga Cable TV Communication Pvt Ltd,"Advertising , Media",Industry Top,Private Sector,49272222,600031,"Club Road, Chetpet,, Chennai Tamil Nadu , 600031",tccl.co.in
Thangavelu Group Of Colleges,"Institutes - Educational , Training",Industry Top,Private Sector,66041234,600097,"IT Highway, (Old Mahabalipuram Road), Karapakkam, Chennai Tamil Nadu , 600097",www.thangavelucolleges.com
The Accord Metropolitan (Accord),Hotels & Restaurants,Industry Top,Private Sector,"28161000, 43911000",600017,"35, GN Chetty Road, T Nagar, Chennai Tamil Nadu , 600017",www.theaccordhotels.com
"The Ambassador Pallava, Chennai (****)",Hotels & Restaurants,Industry Top,Private Sector,28554476,600008,"No. 30, Montieth Road, Egmore, Chennai Tamil Nadu , 600008",www.ambassadorindia.com
The Balaha Group,"Chemical, Food , FMCG , Agriculture, Mineral , Metal , Mining, Iron & Steel",Industry Top,Private Sector,42290909,600028,"No.9/2, Padma Edifice, Annai Nagammai Street R A Puram, Chennai Tamil Nadu , 600028",www.balaha.com
The Banyan Adaikalam,"NGOs , Trust , Charitable Institutions",Industry Top,Private Sector,,600037,"6th Main Road, Mugappair Eri Scheme,Mugappair west, Chennai Tamil Nadu , 600037",www.thebanyan.org
The Elite Grand,Hotels & Restaurants,Industry Top,Private Sector,61377700,600119,"1/238, Old Mahabalipuram Road (OMR), Semmencherry, Chennai Tamil Nadu , 600119",www.hotelelitegrand.com
The Grand Sweets & Snacks,"Food , FMCG , Agriculture",Industry Top,Private Sector,42054466,600020,"Main Centre , Chennai Tamil Nadu , 600020",grandsweets.com
The Hindu Senior Secondary School,"Institutes - Educational , Training",Industry Top,Private Sector,"24901836, 24451693",600020,"No.1, 2nd Main Road, Indira Nagar, Chennai Tamil Nadu , 600020",hsssindiranagar.edu.in
The Institute of Child Health and Hospital for Children (ICH),"Institutes - Educational , Training",Industry Top,Govt Sector,"28191135, 28191137",600008,"Halls Road, Egmore, Chennai Tamil Nadu , 600008",www.ichcalcutta.org
The L V Prasad Film & TV Academy,"Institutes - Educational , Training",Industry Top,Private Sector,"45032178, 40025100",600093,"28, Arunachalam Road, Saligramam, Chennai Tamil Nadu , 600093",www.prasadacademy.com
"The Leela Palace, Chennai (*****)",Hotels & Restaurants,Industry Top,Private Sector,66651234,600028,"Adyar Seaface M.R.C Nagar, Chennai Tamil Nadu , 600028",www.theleela.com
The Madras Pharmaceuticals,"Pharmaceuticals , Labs",Industry Top,Private Sector,23452030,600017,"No 15 Gopalakrishna Road T. Nagar, Chennai Tamil Nadu , 600017",www.madraspharma.com
The Nippon Group Home,"Export , Import Houses",Industry Top,Private Sector,42909800,600034,"Sterling Silver No. 24 & 25, Siva Ganga Road, Chennai Tamil Nadu , 600034",www.nippongroup.com
The Park Chennai (*****) (Apeejay),Hotels & Restaurants,Industry Top,Private Sector,42676000,600006,"601, Anna Salai, Chennai Tamil Nadu , 600006",www.theparkhotels.com
The Precision Group,Information Technology (IT),Industry Top,Private Sector,45015000,600017,"No.:22, 1st Floor, Habibullah Road, T.Nagar, Chennai Tamil Nadu , 600017",theprecisiongroup.co.in
The Raintree Hotel - St Marys Road,Hotels & Restaurants,Industry Top,Private Sector,42252525,600028,"120, St. Mary's Road, Alwarpet, Chennai Tamil Nadu , 600028",www.raintreehotels.com
"The Raintree Hotel, Annasalai",Hotels & Restaurants,Industry Top,Private Sector,"43939999, 28309999",600035,"636 ,Annasalai Teynampet, Chennai Tamil Nadu , 600035",www.raintreehotels.com
"The Residency Towers, Chennai (The Residency Group) (****)",Hotels & Restaurants,Industry Top,Private Sector,28156363,600017,"115 Sir Thyagaraya Road, Chennai Tamil Nadu , 600017",www.theresidency.com
"The Residency, Chennai (The Residency Group) (****)",Hotels & Restaurants,Industry Top,Private Sector,28253434,600017,"49 G.N. Chetty Road, Chennai Tamil Nadu , 600017",www.theresidency.com
The Royal Regency Hotel,Hotels & Restaurants,Industry Top,Private Sector,49347777,600003,"26 & 27 Poonamallee High Road, Periamet, Chennai Tamil Nadu , 600003",regencygroupch.com
The Sai Ram Group of Institutions,"Institutes - Educational , Training",Industry Top,Private Sector,42267777,600017,"SAI BHAVAN, No.31, Madley Road T Nagar, Chennai Tamil Nadu , 600017",www.sairamgroup.in
The Spastics Society of Tamil Nadu (SPASTN),"NGOs , Trust , Charitable Institutions",Industry Top,Private Sector,22541651,600113,"Opp. T.T.T.I. Taramani Road,, Chennai Tamil Nadu , 600113",www.spastn.org
The Tamil Chamber of Commerce,"Ministeries , Govt Bodies , Associations",Industry Top,Private Sector,"25231930, 25228419",600001,"Sivakami Complex New No. 318 (Old No.174) 1st Floor, Thambu Chetty Street, Chennai Tamil Nadu , 600001",tamilchamber.org
The Tamil Nadu State Apex Co-operative Bank Ltd,BFSI,Industry Top,Private Sector,"25302323, 25302300",600001,"233 Netaji Subhash Chandra Bose Road Netaji Subhash Chandra Bose Road, Chennai Tamil Nadu , 600001",www.tnscbank.com
The Tamilnadu Dr. M.G.R. Medical University,"Institutes - Educational , Training",Industry Top,Private Sector,"22353576, 22353579",600032,"69, Anna Salai, Guindy, Chennai Tamil Nadu , 600032",www.tnmgrmu.ac.in
The Tamilnadu Industrial Investment Corporation Ltd,"Ministeries , Govt Bodies , Associations",Industry Top,Public Sector,24331203,600035,"New no :692, Anna Salai, Nandanam, Chennai Tamil Nadu , 600035",www.tiic.org
The Theosophical Society,"NGOs , Trust , Charitable Institutions",Industry Top,Private Sector,24912474,600020,"Opp Malar Hospital, L B Rd, Adyar, Chennai Tamil Nadu , 600020",www.ts-adyar.org
The Voluntary Health Services,"Hospitals , Healthcare",Industry Top,Private Sector,22541972,600013,"Rajiv Gandhi Salai Tharamani,, Chennai Tamil Nadu , 600013",www.vhschennai.org
The Waterbase Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,"45661700, 30127000",600008,"37, Thapar House Montieth Road ,Egmore, Chennai Tamil Nadu , 600008",waterbaseindia.com
The Westin Chennai Velachery (*****) (Marriott),Hotels & Restaurants,Industry Top,Private Sector,66333777,600042,"154 Velachery Main Road, Chennai Tamil Nadu , 600042",www.starwoodhotels.com
Thejo Engineering Ltd,Engineering,Industry Top,Private Sector,42221900,600086,"41, Cathedral Road, VDS House,, Chennai Tamil Nadu , 600086",www.thejo-engg.com
Thiru Arooran Sugars Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,28276001,600034,"El Dorado, 5th Floor, 112, Nungambakkam High Road, Chennai Tamil Nadu , 600034",tasugars.in
