Company,Industry,Company Type,Sector,Contact,Pincode,Address,Website
Jaya Engineering College,"Institutes - Educational , Training",Industry Top,Private Sector,"26390041, 26341264",602024,"Prakash Nagar, Thiruninravur, Chennai Tamil Nadu , 602024",www.jec.ac.in
Jaya Network (Jaya TV),"Advertising , Media",Industry Top,Private Sector,43960000,600097,"48,NB Jawaharlal Nehru Road, Ekkattuthangal, Chennai Tamil Nadu , 600097",www.jayatvnetwork.com
Jaze Networks Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,33185100,600097,"Jeni Enclave, 66, Raju Nagar 1st Main Rd, Raju Nagar, Chennai Tamil Nadu , 600097",www.jazenetworks.com
JBM Auto System Pvt Ltd (JBM),"Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,67417777,603204,"1, Ford India Suppliers Park, Kilkarani Village Maraimalai Nagar Chengalpattu, Chennai Tamil Nadu , 603204",www.jbm-group.com
JBM Shelters Pvt Ltd,"Construction, Infrastructure",Industry Top,Private Sector,22640666,600043,"BM Towers, # 59, 2nd floor GST Road, Pallavaram, Chennai Tamil Nadu , 600043",jbmshelters.com
Jeppiaar Engineering College,"Institutes - Educational , Training",Industry Top,Private Sector,24502818,600119,"Semmenchery Village ,Old Mamallapuram Road, Chennai Tamil Nadu , 600119",www.jeppiaarcollege.org
Jerusalem College Of Engineering,"Institutes - Educational , Training",Industry Top,Private Sector,"22460071, 22460131",600100,"Velachery main road Narayanapuram,Pallikaranai, Chennai Tamil Nadu , 600100",www.jerusalemengg.ac.in
Jet Inks Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,42233200,600034,"New No 22, Nungambakkam High Road, Chennai Tamil Nadu , 600034",www.jetinks.net
Jin Plast India Ltd,"Wood , Plastic Furniture , Fixtures , Fittings",Industry Top,Private Sector,,600079,"29, Narayana Mudali Street, Narayana Mudali Street, Chennai Tamil Nadu , 600079",
JM Frictech India Pvt Ltd,"Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,"71131343, 71131344",602105,"G27, SIPCOT Industrial Park, Katrambakkam Village, Irrungattukottai,, Chennai Tamil Nadu , 602105",www.jmil.in
Johal Carriers Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport",Industry Top,Private Sector,,600095,"No. 11, Porur Gardens, Phase-I, Vanagaram,, Chennai Tamil Nadu , 600095",www.johallogistics.com
Johal Logistics Group,"Courier , Logistics , Supply Chain ,Packaging , Transport",Industry Top,Private Sector,,600095,"No. 11, Porur Gardens, Phase-I, Vanagaram,, Chennai Tamil Nadu , 600095",www.johallogistics.com
Johnsons Lifts Pvt Ltd,Engineering,Industry Top,Private Sector,"26152200, 26152203",600101,"No.1 East Main Road, Anna Nagar Western Extension, Chennai Tamil Nadu , 600101",www.johnsonliftsltd.com
JP Hotel,Hotels & Restaurants,Industry Top,Private Sector,66888000,600107,"1131 Inner Ring Road Koyambedu, Chennai Tamil Nadu , 600107",www.hoteljpchennai.com
JSR Infra Developers Pvt Ltd,"Construction, Infrastructure",Industry Top,Private Sector,28152840,600017,"JSR Towers,4th Floor,New No.17, Old No.8, Vijayaragava Road,T Nagar, Chennai Tamil Nadu , 600017",www.jsrinfraa.com
Jumbo Bag Ltd (Bliss Group) (Bliss),"Courier , Logistics , Supply Chain ,Packaging , Transport",Industry Top,Private Sector,"26451722, 26461415",600010,"New no. 4 Old no. 47 Nowroji Road, Chetput, Chennai Tamil Nadu , 600010",www.jumbobaglimited.com
Jupiter Sea & Air Services Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport",Industry Top,Private Sector,"28190171, 28190735",600008,"Casa Blanca, 3rd Floor, 6, Casa Major Road, Egmore, Chennai Tamil Nadu , 600008",www.jupiterseaair.com
Justice Basheer Ahmed Sayeed College For Women,"Institutes - Educational , Training",Industry Top,Private Sector,24364152,600018,"Old No-310 New No-56 KB Dasan Road Tynampet, Chennai Tamil Nadu , 600018",www.jbascollege.edu.in
K I International Ltd (Kamachi ),Iron & Steel,Industry Top,Private Sector,42961100,600002,"Old No.50, New No.39 Anna Salai, Chennai Tamil Nadu , 600002",www.kamachigroup.com
K J Hospital Research & Postgraduate Centre,"Hospitals , Healthcare",Industry Top,Private Sector,26411513,600084,"New 182, Old 927, Poonamalee High Road, Chennai Tamil Nadu , 600084",kjhospital.net
K7 Computing Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,"66117777, 22354692",600119,"4th Floor, Tek Meadows,51 Rajiv Gandhi Salai OMR, Sholinganallur,, Chennai Tamil Nadu , 600119",www.k7computing.com
Kaar Technologies India Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,40651500,600093,"Level 8, Shyamala Towers No 136, Arcot Road, Chennai Tamil Nadu , 600093",www.kaartech.com
Kag India Pvt Ltd,"Construction, Infrastructure",Industry Top,Private Sector,22392831,600059,"264/15, Velachery Road East Tambaram, Chennai Tamil Nadu , 600059",kagindia.com
Kailash Trading Corporation,"Mineral , Metal , Mining",Industry Top,Private Sector,"28273036, 28273037",600034,"Door No 2 E, 2nd Floor, Apex Plaza Nungambakkam High Road, Nungambakkam, Chennai Tamil Nadu , 600034",www.ktc-group.in
Kal Publications Pvt Ltd (DINAKARAN-Tamil Daily) (Sun),"Paper , Publishing , Printing",Industry Top,Private Sector,42209191,600004,"No. 229, Kutchery Road, Mylapore, Chennai Tamil Nadu , 600004",www.dinakaran.com
Kalaignar TV Pvt Ltd,"Advertising , Media",Industry Top,Private Sector,24307777,600018,"No 367/369 Anna Arivalayam, Anna Salai, Teynampet, Chennai Tamil Nadu , 600018",www.kalaignartv.co.in
Kalakshetra Foundation,"Ministeries , Govt Bodies , Associations",Industry Top,Govt Sector,24520836,600041,"Thiruvanmiyur, Chennai Tamil Nadu , 600041",www.kalakshetra.in
Kaleesuwari Refinery Pvt Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,28478999,600021,"No-53, Rajsekhar Street, Radh Krishna Salai, Belapur, Chennai Tamil Nadu , 600021",kaleesuwari.com
Kali Aerated Water Works Pvt Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,24311253,600018,"No 610,610A ,612, 6th Floor Building, Anna Salai, Teynampet, Chennai Tamil Nadu , 600018",www.kalis.in
Kalis Sparkling Water Pvt Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,24311253,600018,"No. 612, 610, 610A, Chaitanya Imperial Building, 6th Floor, Annasalai,Teynampet, Chennai Tamil Nadu , 600018",kalimarkbovonto.com
Kals Distilleries Pvt Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,24345254,600017,"No 23/5, Thanikachalam Road, T Nagar,, Chennai Tamil Nadu , 600017",kals.co.in
Kalyanamalai KM Wedding Events Management Pvt Ltd,E -Commerce,Industry Top,Private Sector,24341400,600017,"6/1, Ramasamy Street, T. Nagar, Chennai Tamil Nadu , 600017",www.kmmatrimony.com
Kamachi Industries Ltd (Kamachi ),Iron & Steel,Industry Top,Private Sector,42961100,600002,"Old No 50,New No 39,Annasalai,ABC Trade Centre 3rd Floor Mount Road, Chennai Tamil Nadu , 600002",www.kamachigroup.com
Kamachi Steels Ltd (Kamachi ),Iron & Steel,Industry Top,Private Sector,42961100,600002,"Old No 50, New No 39, Annasalai, ABC Trade Centre 3rd Floor Mount Road, Chennai Tamil Nadu , 600002",www.kamachigroup.com
Kamai Elevators Pvt Ltd,Engineering,Industry Top,Private Sector,42038345,600040,"Block AM 15, Plot No : 2976C, 14th Main Road, Shanthi Colony,, Chennai Tamil Nadu , 600040",www.kamaielevator.com
Kamarajar Port Ltd,"Shipping , Marine",Industry Top,Public Sector,"25251666, 24983052",600001,"No 17, Jawahar Building, Rajaji Salai, Chennai Tamil Nadu , 600001",www.ennoreport.gov.in
Kanchi Kamakoti Childs Trust Hospital,"Hospitals , Healthcare",Industry Top,Private Sector,42001800,600034,"12-A, Nageswara Road Nungambakkam, Chennai Tamil Nadu , 600034",www.kkcth.org
Kanchi Karpooram Ltd,"Pharmaceuticals , Labs",Industry Top,Private Sector,"26401914, 26401915",600010,"No. 1, Barnaby Avenue, Barnaby Road, Kilpauk, Chennai Tamil Nadu , 600010",www.kanchikarpooram.com
Kanishk Steels Industries Ltd,Iron & Steel,Industry Top,Private Sector,"42919700, 27922187",600004,"Old 4 , New 7, Thiru-Vi-Ka 3rd Street Royapettah High Road, Mylapore, Chennai Tamil Nadu , 600004",kanishksteels.in
Kapoor Imaging Pvt Ltd,"Office Automation , Stationery",Industry Top,Private Sector,43471000,600014,"3, Masilamani Road, Balaji Nagar, Royapettah, Chennai Tamil Nadu , 600014",www.kapoorimaging.com
Karaikal Port Pvt Ltd,"Shipping , Marine",Industry Top,Private Sector,45622000,600004,"No. 145 (Old No. 81), Royapettah High Road, Mylapore,, Chennai Tamil Nadu , 600004",www.karaikalport.com
Katti-Ma Exports Pvt Ltd,"Export , Import Houses, Cement , Marble , Stone etc",Industry Top,Private Sector,"28363545, 28363547",600031,"Office-A, 9th floor, The Rain Tree Place No.9, Mc.Nichols Road, Chetpet, Chennai Tamil Nadu , 600031",www.kattima.com
Kawarlal & Co,"Pharmaceuticals , Labs",Industry Top,Private Sector,25351798,600003,"27 Raghunayakula Street, Park Town, Chennai Tamil Nadu , 600003",www.kawarlal.com
KCP Sugar & Industries Corporation Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,"28555171, 28555176",600006,"Ramakrishna Buildings, 239 Anna Salai, Chennai Tamil Nadu , 600006",www.kcpsugar.com
Keerthi Enterprises,"Hospitals , Healthcare",Industry Top,Private Sector,,603202,"23/A, K.K.Nagar, Srinivasapuram Guduvanchery, Chennai Tamil Nadu , 603202",keerthiservice.com
Kendriya Vidyalaya - Anna Nagar,"Institutes - Educational , Training",Industry Top,Govt Sector,26158780,600040,"G.P.R.A. Campus Thirumangalam, Chennai Tamil Nadu , 600040",www.kvannanagar.ac.in
Kendriya Vidyalaya Avadi HVF,"Institutes - Educational , Training",Industry Top,Govt Sector,,600054,"HVF,Avadi, Chennai Tamil Nadu , 600054",
Kendriya Vidyalaya Minambakkam,"Institutes - Educational , Training",Industry Top,Govt Sector,22341557,600027,"Near Palavanthangal Railway Station, Minambakkam, Chennai Tamil Nadu , 600027",www.kvminambakkam.ac.in
"Kendriya Vidyalaya,Chennai","Institutes - Educational , Training",Industry Top,Private Sector,26385869,600054,"OCF, AVADI,, Chennai Tamil Nadu , 600054",www.kvocfavadi.ac.in
Kerry Indev Logistics Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport",Industry Top,Private Sector,40909090,600034,"New No 23 Josier Street Thrimurty Nungambakkam, Chennai Tamil Nadu , 600034",www.kerryindev.com
KH Exports India Pvt Ltd,"Export , Import Houses, Leather , Accessories",Industry Top,Private Sector,26493698,600056,"No.4/74, V.O.C. Street, Senneerkuppam, poonamallee,, Chennai Tamil Nadu , 600056",
Khazana Jewellery Pvt Ltd,"Gems , Jewellery , Watches",Industry Top,Private Sector,42297700,600018,"No. 252A TTK Road Alwarpet, Chennai Tamil Nadu , 600018",www.khazanajewellery.com
Khazanchi Jewellers Pvt Ltd,"Gems , Jewellery , Watches",Industry Top,Private Sector,42056430,600079,"No 52, NSC Bose Road, Ground FLoor, Sowcarpet,, Chennai Tamil Nadu , 600079",www.kjpl.in
"Khivraj Automobiles & Infrastructure Pvt Ltd, Olympia Tech Park (Olympia)","Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,"42269600, 42269601",600006,"623, Anna Salai, Chennai Tamil Nadu , 600006",www.khivrajmotors.com
Khivraj Estates Ltd (Olympia),"Construction, Infrastructure",Industry Top,Private Sector,,600006,"Mount Road, 623, Anna Salai, Chennai Tamil Nadu , 600006",
Khivraj Vahan Pvt Ltd (Olympia Honda) (Olympia),"Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,42299600,600058,"Plot # 21 , Industrial Estate Ambattur, Chennai Tamil Nadu , 600058",www.olympiahonda.co.in
Kiran Global Chem Ltd,Chemical,Industry Top,Private Sector,"26445477, 26441232",600010,"Old. No. 81, New No. 42, New Avadi Road Kilpauk, Chennai Tamil Nadu , 600010",www.kiranglobal.com
Kirorimal Kashiram Marketing and Agencies Pvt Ltd,"Export , Import Houses, Food , FMCG , Agriculture",Industry Top,Private Sector,"25386785, 42080195",600001,"R.O : 60,(OLD-34), Anderson Street ,, Chennai Tamil Nadu , 600001",www.kkram.in
KLN Motors Agencies Pvt Ltd,"Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,23458941,600010,"Old No.861 New No. 232, Poonamallee High Road, Kilpauk,, Chennai Tamil Nadu , 600010",www.klnmotors.com
Kosmic Group,Information Technology (IT),Industry Top,Private Sector,43409222,600006,"33, Rutland Towers Shafee Mohammed Rd, Chennai Tamil Nadu , 600006",www.kosmikglobal.com
Kothari Industrial Corporation Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,28334565,600034,"114 Mahatma Gandhi Salai, Chennai Tamil Nadu , 600034",www.kotharis.in
Kothari Petrochemicals Ltd (HCK ),"Petroleum , Oil , Gas , Refineries",Industry Top,Private Sector,30281596,600034,"Kothari Buildings,No.115, Mahatma Gandhi Salai, Nungambakkam, Chennai Tamil Nadu , 600034",www.kothari.co.in
Kothari Sugars & Chemicals Ltd (HCK ),"Food , FMCG , Agriculture",Industry Top,Private Sector,"30225614, 28334501",600034,"115, 3rd Floor,Kothari Building,Mahatma Gandhi Road, Nungambakkam, Chennai Tamil Nadu , 600034",www.hckotharigroup.com
Kovaion Consulting India Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,49099666,600083,"Plot B-9, New no 14, Old no 52, 100 ft road First Avenue,, Ashok Nagar, Chennai Tamil Nadu , 600083",www.kovaion.com
KP Manish Global Ingredients Pvt Ltd,"Pharmaceuticals , Labs",Industry Top,Private Sector,44212345,600003,"41, Raghunayakulu St, Park Town,, Chennai Tamil Nadu , 600003",www.kpmanish.com
KR Padmanabhan & Sons,"Food , FMCG , Agriculture",Industry Top,Private Sector,42104967,600097,"No: 27, Perumal Mudali Street, Kondithope, George Town,, Chennai Tamil Nadu , 600097",www.krpsons.com
Krishnagiri Walajahpet Tollway Ltd,"Construction, Infrastructure",Industry Top,Private Sector,,600089,"PO Box 979,Mnt Poonamallee Road, Manapakkam, Chennai Tamil Nadu , 600089",
Kriticons Ltd,"Construction, Infrastructure",Industry Top,Private Sector,28592075,600008,"Ceebros Center No.3, 4th floor,45, Montieth Road, Egmore, Chennai Tamil Nadu , 600008",www.kriticon.com
KRM Ramadevi Enterprises Pvt Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,,600103,"41/5, Andal Nagar,Kadapakkam Ponneri High Road, Manali New town, Chennai Tamil Nadu , 600103",krmramadevi.com
Kshema Power and Infrastructure Co Pvt Ltd,"Power , Energy",Industry Top,Private Sector,45502340,600032,"No:108/94, 13th Cross Street, Defence Officers Colony, Ekkatuthangal,, Chennai Tamil Nadu , 600032",kshemapower.com
KSR Freight Forwarders Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport",Industry Top,Private Sector,"25243624, 25243628",600001,"48/39, Rajaji Salai, Wavoo Mansion 6th Floor, Parrys,, Chennai Tamil Nadu , 600001",www.ksrindia.net
KTV Health Food Pvt Ltd ( KTV Group ),"Food , FMCG , Agriculture",Industry Top,Private Sector,"25248833, 25557301",600001,"48/310, Thambu Chetty Street,, Chennai Tamil Nadu , 600001",kogktv.com
Kumaran Hospitals Pvt Ltd,"Hospitals , Healthcare",Industry Top,Private Sector,42956777,600010,"214, E.V.R Periyar Salai Poonamallee High Road Kilpauk, Chennai Tamil Nadu , 600010",kumaranhospitals.com
Kumaran Systems Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,42273100,603103,"Plot No-28-A41, 3rd Main Road 6th Cross Street, Sipcot IT Park. Siruseri, Chennai Tamil Nadu , 603103",www.kumaran.com
Kumudam Publications Pvt Ltd,"Advertising , Media",Industry Top,Private Sector,"45919133, 45919176",600010,"Kumudam,Old no 151, New no 306 Purasawalkam High Road, Chennai Tamil Nadu , 600010",www.kumudam.com
KUN Aerospaces Pvt Ltd,Engineering,Industry Top,Private Sector,26230902,600058,"NO.22 & 23, Ambattur Industrial Estate, Ambattur, Chennai Tamil Nadu , 600058",www.kunaerospace.com
Kun Auto Company Pvt Ltd,"Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,42913333,600102,"C-48, 2nd Avenue Annanagar, Chennai Tamil Nadu , 600102",www.kunhyundai.com
"KUN Motor Company Pvt Ltd, Ambattur","Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,49261111,600058,"B7 & B8, Ambattur Industrial Estate, Chennai Tamil Nadu , 600058",www.bmw-kunexclusive.in
"KUN Motor Company Pvt Ltd, Express Avenue Mall Showroom","Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,"28464441, 42911111",600027,"20, GST Road, Meenambakkam, Chennai Tamil Nadu , 600027",www.bmw-kunexclusive-chennai.in
Kwality Milk Foods Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,,600010,"9 Gajapathy Road Kilpauk, Chennai Tamil Nadu , 600010",kwalitymilkfoods.com
Kwik Patch Ltd,"Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,22501202,600032,"19A, A Super, 2nd Floor, Thiru Vi Ka Industrial Estate, Guindy,, Chennai Tamil Nadu , 600032",www.kwikpatch.com
L&T Construction ( ECC Division ) (L&T),"Construction, Infrastructure",Industry Top,Private Sector,"22528000, 22526000",600089,"Mount Poonamallee Road, Manapakkam, P.B.No.979, Chennai Tamil Nadu , 600089",www.lntecc.com
L&T Infrastructure Engineering Ltd (L&T),"Construction, Infrastructure",Industry Top,Private Sector,22597500,600089,"Post Box No:979,TC 2 Third Floor, Mount Poonamallee Road,Manapakkam,, Chennai Tamil Nadu , 600089",lntiel.com
L&T Shipbuilding Ltd (L&T),"Shipping , Marine",Industry Top,Private Sector,"22706509, 22706542",600089,"TC-1 Building, L&T Campus, 22, Mount Poonamallee Road, Manapakkam,, Chennai Tamil Nadu , 600089",www.lntshipbuilding.com
L&T Valves Ltd (L&T),Engineering,Industry Top,Private Sector,22529803,600089,"Mount-Poonamallee Road, Manapakkam, Post Bag 976 L&T Campus, TC-3, Tower A, 2nd Floor, Chennai Tamil Nadu , 600089",www.lntvalves.com
Lalah Indian Spices & Food Pvt Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,"42018960, 24980591",600018,"ANOOR Woodford, No.134/554, TTK Road, Chennai Tamil Nadu , 600018",www.lalahs.com
Lalitha Jewellery Mart Pvt Ltd,"Gems , Jewellery , Watches",Industry Top,Private Sector,"28349860, 28141177",600017,"53 Icon Savitri Ganesh Building T Nagar, Chennai Tamil Nadu , 600017",www.lalithaajewellery.com
LANCO Tanjore Power Co. Ltd (Lanco),"Power , Energy",Industry Top,Private Sector,"28157247, 28157209",600017,"3rd Floor, No.25, G.N.Chetty Road, T.Nagar, Chennai Tamil Nadu , 600017",www.lancogroup.com
Lancor Holdings Ltd,"Construction, Infrastructure",Industry Top,Private Sector,"28345884, 28345883",600017,"New No 58 Old No 104 Vtn Square 2nd Floor, G N Chetty Road, T Nagar, Chennai Tamil Nadu , 600017",www.lancor.in
Lanson Motors Pvt Ltd,"Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,40008000,600107,"34, Ponnamallee High Road, Koyambedu, Chennai Tamil Nadu , 600107",www.lansontoyota.com
Lapiz Digital Services,Information Technology (IT),Industry Top,Private Sector,42901300,600032,"RR Tower -IV, 5th Floor, RR Chambers T.V.K Industrial Estate, Guindy, Chennai Tamil Nadu , 600032",www.lapizdigital.com
LAYAM Group,"BFSI, Consulting",Industry Top,Private Sector,40639999,600020,"No. 13/1 5th Cross Street,Indira Nagar, Adyar, Chennai Tamil Nadu , 600020",www.layamgroup.com
Le Royal Meridien Chennai,Hotels & Restaurants,Industry Top,Private Sector,22314343,600016,"1 GST Road, St Thomas Mount, Chennai Tamil Nadu , 600016",www.starwoodhotels.com
"Le Royal Meridien, Chennai(*****) (Marriott)",Hotels & Restaurants,Industry Top,Private Sector,43534545,600016,"1 GST Road, St. Thomas Mount, Chennai Tamil Nadu , 600016",www.starwoodhotels.com
Leaap International Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport",Industry Top,Private Sector,42222115,600001,"46, Rajaji Salai, Chennai Tamil Nadu , 600001",www.leaap.com
Lehry Instrumentation & Valves Pvt Ltd,Engineering,Industry Top,Private Sector,"25226995, 25225185",600001,"LEHRY CHAMBERS #78(Old No.51) Sembudoss Street P.B No.1506, Chennai Tamil Nadu , 600001",lehryvalves.com
"Lemon Tree Hotel, Chennai (Lemon Tree Hotels)",Hotels & Restaurants,Industry Top,Private Sector,44232323,600032,"72, Sardar Patel Road, Guindy, Chennai Tamil Nadu , 600032",www.lemontreehotels.com
"Lemon Tree Hotel, Shimona (Lemon Tree Hotels)",Hotels & Restaurants,Industry Top,Private Sector,40407777,600125,"31/3, Mount Poonamalle High Road, Manapakkam,, Chennai Tamil Nadu , 600125",lemontreehotels.com
Leo Primecomp Pvt Ltd,Iron & Steel,Industry Top,Private Sector,,600096,"61 & 62, Lakshmanan Nagar, Kandhanchavadi, Chennai Tamil Nadu , 600096",
Liberty Group Of Seafood Companies,"Food , FMCG , Agriculture",Industry Top,Private Sector,45520012,600020,"60/30, 28th Cross Street, Indira Nagar, Adyar, Chennai Tamil Nadu , 600020",libertyfoods.net
Libraa Ship Management Pvt Ltd,"Shipping , Marine",Industry Top,Private Sector,,600004,"C-14, Vista Heights, M38 & M39 West Avenue, Kamaraj Nagar (West) Thiruvanmiyur, Chennai Tamil Nadu , 600004",www.libraa.com
LifeCell International Pvt Ltd.,"Pharmaceuticals , Labs",Industry Top,Private Sector,47445353,600048,"26, Vandalur, Kelambakkam Main Road, Keelakottaiyur, Chennai Tamil Nadu , 600048",www.lifecell.in
Lifeline Multi Speciality Hospital,"Hospitals , Healthcare",Industry Top,Private Sector,42949494,600010,"No. 47/3. New Avadi Road Kilpauk, Chennai Tamil Nadu , 600010",www.lifelinehospitals.co.in
Lightworkers Academy,"Institutes - Educational , Training",Industry Top,Private Sector,47486060,600127,"Uniworld City Malrojapuram-Nellikuppam Road, Nallambakkam, Chennai Tamil Nadu , 600127",lwauniworldcity.org
Link Up Textiles Pvt Ltd,"Garment , Textile",Industry Top,Private Sector,,600087,"No. 6AB & 7AB, Sridevi Kuppam Main Road, Kumaran Colony, Valasarawakkam, Chennai Tamil Nadu , 600087",
Linkindia Logistics Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport",Industry Top,Private Sector,42310533,600096,"No 27 New MGR Road Kandanchavadi, Chennai Tamil Nadu , 600096",www.llplindia.com
Lister Technologies Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,42252801,600096,"SP Infocity, 8th Floor #40 Dr. M G R Salai, Kandanchavadi Perungudi, Chennai Tamil Nadu , 600096",www.listertechnologies.com
Little Drops,"NGOs , Trust , Charitable Institutions",Industry Top,Private Sector,,602101,"No.1, Kalluri Salai, Koluthuvanchery, Paraniputhur, Chennai Tamil Nadu , 602101",forlittledrops.org
Little Oriental Balm & Pharmaceuticals Ltd (Jhaver),Chemical,Industry Top,Private Sector,"26531388, 26532490",600095,"No: 85, Galaxy Road, Ponniamman Nagar Ayanambakkam, Chennai Tamil Nadu , 600095",www.littlesoriental.com
LKS Goldhouse Pvt Ltd,"Gems , Jewellery , Watches",Industry Top,Private Sector,24341111,600017,"No : 60 Usman Road, T Nagar,, Chennai Tamil Nadu , 600017",www.tnagarlks.com
Logi Max Logistic Solution Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport",Industry Top,Private Sector,,600001,"No.3, Gopal Street, Suite D 2nd Floor, Parrys, Chennai Tamil Nadu , 600001",logimaxlog.com
Logitech Engineering & Designs India Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,42432000,600032,"Olympia Tech Park, 01, SIDCO Industrial Estate, 10th Floor, Level 11, Fortius Block, Guindy,, Chennai Tamil Nadu , 600032",www.logitech.com
Logon India Infrastructure Pvt Ltd,"Construction, Infrastructure",Industry Top,Private Sector,28153442,600017,"59 , 3A Sagas Amar Court, G.N. Chetty Road, T-Nagar, Chennai Tamil Nadu , 600017",www.logoninfra.com
Lucas Indian Service Ltd (TVS),"Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,"22255032, 22255034",600032,"No 28, Poomagal Main Road, Ekkaduthangal, Chennai Tamil Nadu , 600032",www.lucas-service.in
Lumina Datamatics Ltd,"Paper , Publishing , Printing",Industry Top,Private Sector,66083700,600113,"12th Floor Phase II Ascendas International Tech Park, Chennai Tamil Nadu , 600113",luminadatamatics.com
Lyca Productions Pvt Ltd,"Advertising , Media",Industry Top,Private Sector,40231234,600017,"Block Vijaya Raghava Road, T-Nagar,, Chennai Tamil Nadu , 600017",www.lycaproductions.in
M Mohan Doss,"Construction, Infrastructure",Industry Top,Private Sector,,600034,"No 19, Rajaji 3rd Street, Nungambakkam,, Chennai Tamil Nadu , 600034",
M V Hospital for Diabetes Pvt Ltd,"Hospitals , Healthcare",Industry Top,Private Sector,"25954913, 65612288",600013,"4, West Mada Church Street,Royapuram,, Chennai Tamil Nadu , 600013",www.mvdiabetes.com
Maalai Malar,"Advertising , Media",Industry Top,Private Sector,,600007,"Rani Building, 86 E.V.R. High Road, Chennai Tamil Nadu , 600007",www.maalaimalar.com
"Maansarovar Automobile Pvt Ltd, Madipakkam","Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,42321267,600091,"No , Chennai Tamil Nadu , 600091",www.maansarovarhonda.co.in
"Maansarovar Automobile, Medavakkam","Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,,600042,"New No.105, 100 Ft. Velachery Bypass Road, Velachery, Chennai Tamil Nadu , 600042",www.maansarovarhonda.co.in
MAANTT Global Services Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,42147753,600032,"41E, North Phase, 5th Cross street Thiru.vi.ka.Industrial estate, Ekkattuthangal, Chennai Tamil Nadu , 600032",maantt.com
Madha Engineering College (Madha Groups),"Institutes - Educational , Training",Industry Top,Private Sector,24780732,600069,"Madha Nagar, Somangalam Road, Kundrathur,, Chennai Tamil Nadu , 600069",www.madhagroups.org
Madras Christian College,"Institutes - Educational , Training",Industry Top,Private Sector,"22397731, 22390675",600059,"Tambaram East, Chennai Tamil Nadu , 600059",www.mcc.edu.in
Madras Cricket Club,"Ministeries , Govt Bodies , Associations",Industry Top,Private Sector,"28523976, 28550341",600005,"1 Babu Jagjivan Ram Road, Chepauk, Chennai Tamil Nadu , 600005",madrascricketclub.org
Madras Diabetes Research Foundation (MDRF),"Pharmaceuticals , Labs",Industry Top,Private Sector,43968888,600086,"No 4, Conran Smith Road, Gopalapuram, Chennai Tamil Nadu , 600086",mdrf.in
Madras Engineering Industries Pvt Ltd,"Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,"43983200, 26256008",600058,"C-6, Industrial Estate, Ambattur, Chennai Tamil Nadu , 600058",www.madrasengineering.com
Madras Fertilizers Ltd,Chemical,Industry Top,Public Sector,25945270,600068,"Manali, Chennai Tamil Nadu , 600068",www.madrasfert.co.in
Madras Hydraulic Hose Pvt Ltd,Iron & Steel,Industry Top,Private Sector,"28365489, 28362910",600031,"5, Harrington Apts., 98, Harrington Road, Chennai Tamil Nadu , 600031",www.madrashydraulic.com
Madras Institute of Development Studies,"Institutes - Educational , Training",Industry Top,Govt Sector,24419771,600020,"79, Second Main Road, Gandhinagar, Adyar, Chennai Tamil Nadu , 600020",www.mids.ac.in
